,mmsi,FID,source_id,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,position,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,dt_pos_utc,dt_static_utc,vessel_type_main,vessel_type_sub,message_type,eeid,dtg,geometry,index_right,PORT_NAME,COUNTRY,enter_time,exit_time,port_status,duration,next_port
0,431000676,2be539b6658e9a33bb6dc294b5fe58fe,114,8738275.0,SHINWAMARU,JD2696,Cargo,70,,A,75,12,Japan,431.0,>JP HHE,10190900,3.8,POINT (141.49905 40.551716666666664),141.4991,40.5517,0.0,106.1,0.0,59,Under Way Using Engine,0,T-AIS,20211019000125,20211019000125,2021-10-19 00:01:25,2021-10-19 00:01:25,,,1,,2021-10-19T00:01:25,POINT (141.4991 40.5517),60.0,HACHINOHE,JP,2021-10-19 00:01:25,Docked,,Docked,None
0,431000695,eff7dc65673351137e8bd6f6ac1a2114,114,9473602.0,WAKAMATSU MARU,JD2793,Cargo,70,,A,109,20,Japan,431.0,>JP WAK OFF,10170130,5.3,POINT (135.11200333333332 34.20079666666667),135.112,34.2008,0.1,333.2,0.0,28,At Anchor,1,T-AIS,20211019000211,20211019000211,2021-10-19 00:02:11,2021-10-19 00:02:11,General Cargo Ship,,3,,2021-10-19T00:02:11,POINT (135.112 34.2008),124.0,WAKAYAMA-SHIMOTSU,JP,2021-10-19 00:02:11,Docked,,Docked,None
0,431000701,31b7d95da0fc988bdf090e7a73743b00,114,9370410.0,DAIHATSUMARU,JD2764,Cargo,70,,A,106,16,Japan,431.0,>JP SKD HYD,10190730,4.5,POINT (135.38953333333333 34.686515),135.3895,34.6865,0.0,233.9,0.0,236,Under Way Using Engine,0,T-AIS,20211019000210,20211019000210,2021-10-19 00:02:10,2021-10-19 00:02:10,Ro Ro Cargo Ship,Vehicles Carrier,1,,2021-10-19T00:02:10,POINT (135.3895 34.6865),88.0,AMAGASAKI,JP,2021-10-19 00:02:10,Docked,,Docked,None
0,431000706,67c5d363aad70001fff3e8a258986847,153,9523316.0,SYOYOMARU,JD2807,Cargo,70,,A,77,13,Japan,431.0,>JP UKB RS,10190930,3.8,POINT (135.25166666666667 34.665),135.2517,34.665,7.0,1.0,0.0,0,Under Way Using Engine,0,S-AIS,20211019000014,20211019000014,2021-10-19 00:00:14,2021-10-19 00:00:14,General Cargo Ship,,27,,2021-10-19T00:00:14,POINT (135.2517 34.665),89.0,KOBE,JP,2021-10-19 00:00:14,2021-10-19 00:07:28,,0 days 00:07:14,NISHINOMIYA
1,431000706,e56249b2e5e2cb96f48a34a781433f83,114,9523316.0,SYOYOMARU,JD2807,Cargo,70,,A,77,13,Japan,431.0,>JP UKB RS,10190930,3.8,POINT (135.26666666666668 34.67735),135.2667,34.6773,7.6,77.3,0.0,76,Under Way Using Engine,0,T-AIS,20211019000849,20211019000849,2021-10-19 00:08:49,2021-10-19 00:08:49,General Cargo Ship,,1,,2021-10-19T00:08:49,POINT (135.2667 34.6773),188.0,NISHINOMIYA,JP,2021-10-19 00:08:49,Docked,In,Docked,None
0,431000707,70617f2bda7aa3afa565b2c5585eb43e,153,8742563.0,HISIHARUMARU,JD2805,Cargo,70,,A,79,13,Japan,431.0,JP KSM SE OFF,10171700,4.8,POINT (140.6914 35.9611),140.6914,35.9611,0.2,306.8,0.0,34,Under Way Using Engine,0,S-AIS,20211019002857,20211019002857,2021-10-19 00:28:57,2021-10-19 00:28:57,,,1,,2021-10-19T00:28:57,POINT (140.6914 35.9611),150.0,KASHIMA,JP,2021-10-19 00:28:57,Docked,,Docked,None
0,431000734,2d3d875e23aa202d4f9e617572f9e177,114,9401374.0,JP TSUBAKI,JD2817,Cargo,70,,A,115,20,Japan,431.0,JP YOK XX NGI,10191030,6.5,POINT (139.77031666666667 35.5072),139.7703,35.5072,8.7,97.0,0.0,97,Under Way Using Engine,0,T-AIS,20211019000020,20211019000020,2021-10-19 00:00:20,2021-10-19 00:00:20,Bulk Carrier,Self Discharging Bulk Carrier,1,,2021-10-19T00:00:20,POINT (139.7703 35.5072),72.0,KAWASAKI,JP,2021-10-19 00:00:20,2021-10-19 00:55:58,,0 days 00:55:38,YOKOSUKA
1,431000734,b11cc96a44ab2a5598ab6f20cb7dfdd7,114,9401374.0,JP TSUBAKI,JD2817,Cargo,70,,A,115,20,Japan,431.0,JP YOK XX NGI,10191030,6.5,POINT (139.69835 35.39726666666667),139.6984,35.3973,9.8,225.0,0.0,225,Under Way Using Engine,0,T-AIS,20211019005709,20211019005709,2021-10-19 00:57:09,2021-10-19 00:57:09,Bulk Carrier,Self Discharging Bulk Carrier,1,,2021-10-19T00:57:09,POINT (139.6984 35.3973),98.0,YOKOSUKA,JP,2021-10-19 00:57:09,Docked,In,Docked,None
0,431000763,2a0254ab10b1db3f60fb36614a88b91a,114,8742604.0,REITAKU,JD2822,Cargo,70,,A,73,12,Japan,431.0,JP NGO N4 S1,10182300,3.8,POINT (136.85924333333332 35.06229),136.8592,35.0623,0.0,160.0,0.0,5,At Anchor,1,T-AIS,20211019000205,20211019000205,2021-10-19 00:02:05,2021-10-19 00:02:05,General Cargo Ship,,3,,2021-10-19T00:02:05,POINT (136.8592 35.0623),82.0,NAGOYA,JP,2021-10-19 00:02:05,Docked,,Docked,None
0,431000771,b603d56aeab96b82deaa2763f8bfe56a,114,,KAZU MARU,JK5384,Cargo,70,,A,53,14,Japan,431.0,>JP YOK XX SHN,10191050,5.2,POINT (139.69331166666666 35.45068),139.6933,35.4507,0.0,0.0,0.0,121,Under Way Using Engine,0,T-AIS,20211019000051,20211019000051,2021-10-19 00:00:51,2021-10-19 00:00:51,General Cargo Ship,,1,,2021-10-19T00:00:51,POINT (139.6933 35.4507),72.0,KAWASAKI,JP,2021-10-19 00:00:51,Docked,,Docked,None
