,Cargo_mmsi,Fishing_mmsi,Cargo_geo,fishing_points,start
0,900021988,412428696,"POLYGON ((127.3215015968912 30.10025747702623, 127.3218350705139 30.09964503584535, 127.3220978943255 30.09900712067349, 127.3222875379919 30.098349876031, 127.322402176262 30.09767963253883, 127.3224407065019 30.09700284591301, 127.3224027592608 30.09632603475772, 127.3222887017667 30.09565571775771, 127.3220996343216 30.09499835087579, 127.3218373796331 30.09436026516145, 127.3215044651886 30.09374760576986, 127.3211040988437 30.09316627277904, 127.3206401378633 30.09262186437541, 127.3201170517155 30.0921196229543, 127.3195398789798 30.09166438465412, 127.3189141787849 30.0912605328094, 127.3182459772472 30.09091195576996, 127.3175417094251 30.09062200949096, 127.3168081573487 30.09039348525286, 127.3160523847235 30.09022858282062, 127.3152816689331 30.09012888929906, 127.3145034309975 30.0900953638864, 127.3137251641579 30.09012832867146, 127.3129543617749 30.09022746556164, 127.3121984452314 30.09039181937037, 127.3114646925324 30.0906198070331, 127.3107601682862 30.09090923286257, 127.3100916557384 30.09125730969622, 127.3094655915118 30.09166068573156, 127.308888003676 30.09211547679183, 127.3083644537427 30.09261730371137, 127.3078999831431 30.09316133448182, 127.3074990647006 30.09374233075379, 127.3066990441442 30.09504225117456, 127.3063655252608 30.09565461287808, 127.3061026323048 30.09629245025342, 127.3059128978807 30.09694962162686, 127.3057981503546 30.09761979907513, 127.3057594962025 30.09829652932842, 127.3057973093008 30.09897329588419, 127.3059112272643 30.09964358173459, 127.3061001548668 30.10030093210488, 127.306362274518 30.10093901659925, 127.3066950636949 30.10155169015657, 127.3070953191647 30.10213305222902, 127.307559187768 30.102677503614, 127.3080822034685 30.10317980039169, 127.3086593303143 30.10363510444808, 127.3092850108994 30.1040390300966, 127.3099532198601 30.10438768634755, 127.3106575218913 30.10467771441764, 127.3113911337257 30.10490632011654, 127.3121469894777 30.10507130079739, 127.3129178087224 30.10517106660972, 127.3136961666535 30.10520465584893, 127.3144745656418 30.1051717442528, 127.3152455075033 30.10507264815427, 127.3160015657796 30.10490832145901, 127.3167354573303 30.10468034647579, 127.317440112546 30.10439091868744, 127.3181087435032 30.1040428256088, 127.3187349094013 30.10363941993485, 127.3193125786493 30.10318458723846, 127.3198361870023 30.10268270852863, 127.3203006911856 30.10213861803134, 127.3207016174886 30.10155755660024, 127.3215015968912 30.10025747702623))",<zip object at 0x7f5872c32680>,2022-10-04 18:18:43
1,900021988,412424411,"POLYGON ((127.3210160582029 30.10101980407723, 127.3211159000367 30.10034777518169, 127.3211395019725 30.09967047317427, 127.3210866383638 30.09899442159438, 127.3209578201146 30.09832613177824, 127.3207542896907 30.09767204012848, 127.3204780090817 30.09703844611252, 127.3201316408336 30.09643145158725, 127.3197185223377 30.09585690203484, 127.319242633625 30.09532033027553, 127.3187085589801 30.0948269031991, 127.318121442745 30.09438137202759, 127.3174869397413 30.09398802658722, 127.3168111607896 30.09365065402899, 127.3161006138504 30.09337250239397, 127.3153621413555 30.09315624937285, 127.3146028543315 30.09300397655918, 127.3138300639501 30.09291714944241, 127.3130512111628 30.09289660333215, 127.3122737950959 30.09294253534758, 127.3115053008929 30.09305450254799, 127.3107531276981 30.09323142622119, 127.3100245174705 30.09347160228773, 127.309326485312 30.09377271772017, 127.3086657519778 30.09413187281875, 127.3080486792164 30.09454560912928, 127.3074812085589 30.09500994273418, 127.3069688041457 30.09552040259741, 127.3065164001391 30.09607207359394, 127.3061283532262 30.09665964381133, 127.3058084006702 30.09727745566859, 127.3055596243121 30.09791956036181, 127.3053844208711 30.09857977511349, 127.3052844788293 30.09925174267615, 127.3052607621258 30.09992899251831, 127.3053135008178 30.10060500310523, 127.3054421888015 30.10127326467603, 127.3056455886173 30.10192734191355, 127.3059217432948 30.1025609359042, 127.3062679951273 30.10316794479207, 127.3066810111976 30.10374252254306, 127.3071568154105 30.10427913525323, 127.307690826729 30.10477261445914, 127.3082779032445 30.1052182069354, 127.3089123916618 30.1056116204999, 127.309588181721 30.10594906538367, 127.3102987650346 30.10622729076622, 127.311037297773 30.10644361612274, 127.3117966665945 30.10659595707993, 127.3125695571839 30.10668284552957, 127.3133485247388 30.10670344380512, 127.3141260657226 30.10665755278263, 127.3148946901911 30.10654561382757, 127.315646993994 30.10636870456661, 127.3163757301531 30.10612852852538, 127.3170738787271 30.10582739873034, 127.317734714487 30.10546821543319, 127.3183518717481 30.10505443817178, 127.3189194057321 30.1045900524374, 127.3194318498649 30.10407953126942, 127.3198842684578 30.10352779214875, 127.3202723042633 30.10294014960582, 127.3205922204449 30.10232226400105, 127.3208409365594 30.10168008697242, 127.3210160582029 30.10101980407723))",<zip object at 0x7f5870106040>,2022-10-04 18:50:16
2,431500446,431500260,"POLYGON ((133.5693526729262 34.29961906794991, 133.5695636203747 34.29984993212221, 133.5701324492024 34.30035974959383, 133.5707587595741 34.30082083980347, 133.5714365201008 34.3012287612576, 133.5834367090096 34.30772936158741, 133.5841527789568 34.30807722211487, 133.5849061870879 34.30836571846917, 133.5856898077068 34.30859212144827, 133.5864962290508 34.30875428911068, 133.5873178234299 34.30885068706547, 133.5881468194185 34.30888040301319, 133.5889753754161 34.30884315539925, 133.5897956538786 34.30873929609679, 133.5905998955152 34.30856980709309, 133.5913804927457 34.30833629121001, 133.5921300617218 34.30804095694637, 133.592841512227 34.3076865975852, 133.5935081147921 34.30727656476411, 133.5941235643896 34.30681473675888, 133.5946820401008 34.30630548178145, 133.5951782601919 34.3057536166398, 133.5956075320759 34.3051643611523, 133.595965796687 34.30454328874887, 133.5962496668498 34.30389627372715, 133.5964564592784 34.30322943566424, 133.5965842199062 34.30254908151083, 133.5966317423082 34.30186164591677, 133.5965985790419 34.30117363035355, 133.5964850458053 34.30049154161023, 133.5962922183724 34.29982183024555, 133.5960219223402 34.29917082957854, 133.595676715786 34.29854469579511, 133.5952598650028 34.29794934973682, 133.5947753135443 34.29739042092223, 133.5942276448752 34.29687319432971, 133.593622038982 34.29640256044417, 133.5929642233565 34.29598296903919, 133.5751894118281 34.28574401082767, 133.5599272443089 34.2730910764653, 133.5593067989283 34.27262478651621, 133.5586342941813 34.27221122592145, 133.5579162065972 34.27185437650387, 133.5571594512703 34.27155767390695, 133.5563713152821 34.27132397454663, 133.5555593875568 34.27115552814051, 133.5547314858243 34.27105395607778, 133.5538955813916 34.27102023583667, 133.5530597224452 34.27105469159834, 133.5522319566211 34.27115699114649, 133.5514202535836 34.27132614908164, 133.5506324283568 34.27156053631879, 133.5498760661428 34.27185789577645, 133.5491584493484 34.27221536410605, 133.5484864875201 34.27262949925282, 133.5478666508582 34.27309631358303, 133.5473049079504 34.27361131225973, 133.5468066683206 34.27416953649819, 133.5463767303467 34.27476561128586, 133.5460192350469 34.27539379710851, 133.5457376261815 34.27604804518604, 133.5455346170535 34.27672205568734, 133.5454121643297 34.27740933836527, 133.5453714491362 34.27810327502874, 133.5454128656134 34.27879718325207, 133.5455360170415 34.27948438070864, 133.5457397195792 34.28015824951037, 133.5460220135809 34.28081229993404, 133.5463801823879 34.28144023292067, 133.5468107784147 34.28203600074651, 133.5473096562829 34.28259386528065, 133.5478720126858 34.283108453268, 133.5636714796098 34.29620928066527, 133.5642315255126 34.29663400233072, 133.5648348281977 34.29701574904248, 133.5693526729262 34.29961906794991))",<zip object at 0x7f58dd137500>,2022-10-04 18:18:27
3,431500446,431500260,"POLYGON ((133.5693526729262 34.29961906794991, 133.5695636203747 34.29984993212221, 133.5701324492024 34.30035974959383, 133.5707587595741 34.30082083980347, 133.5714365201008 34.3012287612576, 133.5834367090096 34.30772936158741, 133.5841527789568 34.30807722211487, 133.5849061870879 34.30836571846917, 133.5856898077068 34.30859212144827, 133.5864962290508 34.30875428911068, 133.5873178234299 34.30885068706547, 133.5881468194185 34.30888040301319, 133.5889753754161 34.30884315539925, 133.5897956538786 34.30873929609679, 133.5905998955152 34.30856980709309, 133.5913804927457 34.30833629121001, 133.5921300617218 34.30804095694637, 133.592841512227 34.3076865975852, 133.5935081147921 34.30727656476411, 133.5941235643896 34.30681473675888, 133.5946820401008 34.30630548178145, 133.5951782601919 34.3057536166398, 133.5956075320759 34.3051643611523, 133.595965796687 34.30454328874887, 133.5962496668498 34.30389627372715, 133.5964564592784 34.30322943566424, 133.5965842199062 34.30254908151083, 133.5966317423082 34.30186164591677, 133.5965985790419 34.30117363035355, 133.5964850458053 34.30049154161023, 133.5962922183724 34.29982183024555, 133.5960219223402 34.29917082957854, 133.595676715786 34.29854469579511, 133.5952598650028 34.29794934973682, 133.5947753135443 34.29739042092223, 133.5942276448752 34.29687319432971, 133.593622038982 34.29640256044417, 133.5929642233565 34.29598296903919, 133.5751894118281 34.28574401082767, 133.5599272443089 34.2730910764653, 133.5593067989283 34.27262478651621, 133.5586342941813 34.27221122592145, 133.5579162065972 34.27185437650387, 133.5571594512703 34.27155767390695, 133.5563713152821 34.27132397454663, 133.5555593875568 34.27115552814051, 133.5547314858243 34.27105395607778, 133.5538955813916 34.27102023583667, 133.5530597224452 34.27105469159834, 133.5522319566211 34.27115699114649, 133.5514202535836 34.27132614908164, 133.5506324283568 34.27156053631879, 133.5498760661428 34.27185789577645, 133.5491584493484 34.27221536410605, 133.5484864875201 34.27262949925282, 133.5478666508582 34.27309631358303, 133.5473049079504 34.27361131225973, 133.5468066683206 34.27416953649819, 133.5463767303467 34.27476561128586, 133.5460192350469 34.27539379710851, 133.5457376261815 34.27604804518604, 133.5455346170535 34.27672205568734, 133.5454121643297 34.27740933836527, 133.5453714491362 34.27810327502874, 133.5454128656134 34.27879718325207, 133.5455360170415 34.27948438070864, 133.5457397195792 34.28015824951037, 133.5460220135809 34.28081229993404, 133.5463801823879 34.28144023292067, 133.5468107784147 34.28203600074651, 133.5473096562829 34.28259386528065, 133.5478720126858 34.283108453268, 133.5636714796098 34.29620928066527, 133.5642315255126 34.29663400233072, 133.5648348281977 34.29701574904248, 133.5693526729262 34.29961906794991))",<zip object at 0x7f58dd137500>,2022-10-04 19:20:28
4,431500446,431500260,"POLYGON ((133.5753427795414 34.28587113439228, 133.5599272443089 34.2730910764653, 133.5593067989283 34.27262478651621, 133.5586342941813 34.27221122592145, 133.5579162065972 34.27185437650387, 133.5571594512703 34.27155767390695, 133.5563713152821 34.27132397454663, 133.5555593875568 34.27115552814051, 133.5547314858243 34.27105395607778, 133.5538955813916 34.27102023583667, 133.5530597224452 34.27105469159834, 133.5522319566211 34.27115699114649, 133.5514202535836 34.27132614908164, 133.5506324283568 34.27156053631879, 133.5498760661428 34.27185789577645, 133.5491584493484 34.27221536410605, 133.5484864875201 34.27262949925282, 133.5478666508582 34.27309631358303, 133.5473049079504 34.27361131225973, 133.5468066683206 34.27416953649819, 133.5463767303467 34.27476561128586, 133.5460192350469 34.27539379710851, 133.5457376261815 34.27604804518604, 133.5455346170535 34.27672205568734, 133.5454121643297 34.27740933836527, 133.5453714491362 34.27810327502874, 133.5454128656134 34.27879718325207, 133.5455360170415 34.27948438070864, 133.5457397195792 34.28015824951037, 133.5460220135809 34.28081229993404, 133.5463801823879 34.28144023292067, 133.5468107784147 34.28203600074651, 133.5473096562829 34.28259386528065, 133.5478720126858 34.283108453268, 133.5636714796098 34.29620928066527, 133.5644871705693 34.29680440857746, 133.5708871617565 34.30090473890424, 133.5715742146463 34.3013018112034, 133.5723048642389 34.30164108153544, 133.5730720733726 34.30191928153101, 133.5738684524007 34.30213373099241, 133.5746863303967 34.30228236374307, 133.5755178290822 34.30236374756099, 133.5763549387624 34.30237709800278, 133.5771895955376 34.3023222859842, 133.5780137590429 34.30219983904304, 133.5788194899641 34.30201093627132, 133.5795990265816 34.30175739696529, 133.5803448595996 34.30144166310247, 133.5810498045399 34.30106677581408, 133.5817070709968 34.30063634608039, 133.5823103280868 34.30015451993148, 133.5828537654587 34.2996259384896, 133.583332149275 34.29905569323913, 133.5837408726267 34.29844927695598, 133.5840759998926 34.29781253077054, 133.5843343046177 34.29715158787587, 133.5845133005478 34.29647281442376, 133.5846112655206 34.29578274818038, 133.5846272579872 34.29508803553305, 133.5845611260067 34.29439536745602, 133.584413508629 34.2937114150531, 133.584185829658 34.29304276529861, 133.5838802838558 34.29239585759584, 133.5834998157261 34.29177692176442, 133.5830480910825 34.29119191805351, 133.5825294616796 34.29064647975838, 133.5819489232499 34.29014585899206, 133.5813120673513 34.28969487613373, 133.5753427795414 34.28587113439228))",<zip object at 0x7f587363e180>,2022-10-04 19:25:59
5,431016287,431015831,"POLYGON ((134.2441157376788 34.3961036762793, 134.2448683103718 34.39579481014908, 134.245580732277 34.39542627878249, 134.2462461409618 34.39500163193913, 134.2468581271062 34.39452495994607, 134.2474107962697 34.39400085427705, 134.2478988256839 34.39343436330104, 134.2483175155234 34.39283094362715, 134.2486628341618 34.39219640751667, 134.2489314569755 34.39153686686915, 134.2491207983243 34.39085867432438, 134.2492290364002 34.39016836204819, 134.2492551307093 34.38947257879336, 134.2491988320194 34.38877802584297, 134.2490606846802 34.38809139245359, 134.2488420212984 34.38741929142159, 134.2485449498201 34.38676819539267, 134.2481723331498 34.38614437452895, 134.2477277615041 34.38555383613346, 134.2472155177702 34.38500226681312, 134.2466405362052 34.38449497773674, 134.2460083548751 34.38403685351413, 134.245325062294 34.3836323051878, 134.2445972387788 34.38328522778841, 134.2438318930829 34.38299896286161, 134.2430363949213 34.38277626632545, 134.2422184040331 34.38261928196671, 134.2413857964662 34.38252952082969, 134.2405465887901 34.38250784669474, 134.2397088609645 34.38255446778533, 134.2388806786044 34.38266893478237, 134.238070015387 34.38285014516409, 134.2372846763442 34.38309635382949, 134.2031875092734 34.39539582794983, 134.2024348658992 34.39570439524881, 134.2017223273737 34.39607262377191, 134.2010567544092 34.39649696787679, 134.200444555763 34.39697334164254, 134.1998916265593 34.39749715819064, 134.1994032915419 34.39806337382612, 134.1989842538045 34.39866653657478, 134.198638549491 34.39930083865055, 134.1983695089033 34.3999601723492, 134.1981797243904 34.40063818883148, 134.198071025332 34.40132835923125, 134.1980444604565 34.40202403750105, 134.1981002876684 34.40271852439136, 134.1982379714853 34.40340513194843, 134.1984561881114 34.40407724790992, 134.198752838103 34.40472839937916, 134.1991250665063 34.40535231516464, 134.1995692902775 34.40594298618444, 134.2000812327232 34.40649472335367, 134.2006559646325 34.40700221239649, 134.2012879517067 34.4074605650541, 134.2019711078314 34.40786536619449, 134.2026988536788 34.40821271636896, 134.203464180076 34.40849926940409, 134.2042597155303 34.40872226466565, 134.2050777972577 34.40887955368252, 134.2059105450319 34.40896962087227, 134.2067499371381 34.40899159816808, 134.2075878876999 34.40894527340441, 134.2084163246305 34.40883109237991, 134.2092272674542 34.40865015457704, 134.2100129042463 34.40840420257895, 134.2441157376788 34.3961036762793))",<zip object at 0x7f58da35c940>,2022-10-04 18:27:51
6,431016287,431015831,"POLYGON ((134.2441157376788 34.3961036762793, 134.2448683103718 34.39579481014908, 134.245580732277 34.39542627878249, 134.2462461409618 34.39500163193913, 134.2468581271062 34.39452495994607, 134.2474107962697 34.39400085427705, 134.2478988256839 34.39343436330104, 134.2483175155234 34.39283094362715, 134.2486628341618 34.39219640751667, 134.2489314569755 34.39153686686915, 134.2491207983243 34.39085867432438, 134.2492290364002 34.39016836204819, 134.2492551307093 34.38947257879336, 134.2491988320194 34.38877802584297, 134.2490606846802 34.38809139245359, 134.2488420212984 34.38741929142159, 134.2485449498201 34.38676819539267, 134.2481723331498 34.38614437452895, 134.2477277615041 34.38555383613346, 134.2472155177702 34.38500226681312, 134.2466405362052 34.38449497773674, 134.2460083548751 34.38403685351413, 134.245325062294 34.3836323051878, 134.2445972387788 34.38328522778841, 134.2438318930829 34.38299896286161, 134.2430363949213 34.38277626632545, 134.2422184040331 34.38261928196671, 134.2413857964662 34.38252952082969, 134.2405465887901 34.38250784669474, 134.2397088609645 34.38255446778533, 134.2388806786044 34.38266893478237, 134.238070015387 34.38285014516409, 134.2372846763442 34.38309635382949, 134.2031875092734 34.39539582794983, 134.2024348658992 34.39570439524881, 134.2017223273737 34.39607262377191, 134.2010567544092 34.39649696787679, 134.200444555763 34.39697334164254, 134.1998916265593 34.39749715819064, 134.1994032915419 34.39806337382612, 134.1989842538045 34.39866653657478, 134.198638549491 34.39930083865055, 134.1983695089033 34.3999601723492, 134.1981797243904 34.40063818883148, 134.198071025332 34.40132835923125, 134.1980444604565 34.40202403750105, 134.1981002876684 34.40271852439136, 134.1982379714853 34.40340513194843, 134.1984561881114 34.40407724790992, 134.198752838103 34.40472839937916, 134.1991250665063 34.40535231516464, 134.1995692902775 34.40594298618444, 134.2000812327232 34.40649472335367, 134.2006559646325 34.40700221239649, 134.2012879517067 34.4074605650541, 134.2019711078314 34.40786536619449, 134.2026988536788 34.40821271636896, 134.203464180076 34.40849926940409, 134.2042597155303 34.40872226466565, 134.2050777972577 34.40887955368252, 134.2059105450319 34.40896962087227, 134.2067499371381 34.40899159816808, 134.2075878876999 34.40894527340441, 134.2084163246305 34.40883109237991, 134.2092272674542 34.40865015457704, 134.2100129042463 34.40840420257895, 134.2441157376788 34.3961036762793))",<zip object at 0x7f58da35c940>,2022-10-04 19:37:52
7,431016287,431015831,"POLYGON ((134.2441157376788 34.3961036762793, 134.2448683103718 34.39579481014908, 134.245580732277 34.39542627878249, 134.2462461409618 34.39500163193913, 134.2468581271062 34.39452495994607, 134.2474107962697 34.39400085427705, 134.2478988256839 34.39343436330104, 134.2483175155234 34.39283094362715, 134.2486628341618 34.39219640751667, 134.2489314569755 34.39153686686915, 134.2491207983243 34.39085867432438, 134.2492290364002 34.39016836204819, 134.2492551307093 34.38947257879336, 134.2491988320194 34.38877802584297, 134.2490606846802 34.38809139245359, 134.2488420212984 34.38741929142159, 134.2485449498201 34.38676819539267, 134.2481723331498 34.38614437452895, 134.2477277615041 34.38555383613346, 134.2472155177702 34.38500226681312, 134.2466405362052 34.38449497773674, 134.2460083548751 34.38403685351413, 134.245325062294 34.3836323051878, 134.2445972387788 34.38328522778841, 134.2438318930829 34.38299896286161, 134.2430363949213 34.38277626632545, 134.2422184040331 34.38261928196671, 134.2413857964662 34.38252952082969, 134.2405465887901 34.38250784669474, 134.2397088609645 34.38255446778533, 134.2388806786044 34.38266893478237, 134.238070015387 34.38285014516409, 134.2372846763442 34.38309635382949, 134.2031875092734 34.39539582794983, 134.2024348658992 34.39570439524881, 134.2017223273737 34.39607262377191, 134.2010567544092 34.39649696787679, 134.200444555763 34.39697334164254, 134.1998916265593 34.39749715819064, 134.1994032915419 34.39806337382612, 134.1989842538045 34.39866653657478, 134.198638549491 34.39930083865055, 134.1983695089033 34.3999601723492, 134.1981797243904 34.40063818883148, 134.198071025332 34.40132835923125, 134.1980444604565 34.40202403750105, 134.1981002876684 34.40271852439136, 134.1982379714853 34.40340513194843, 134.1984561881114 34.40407724790992, 134.198752838103 34.40472839937916, 134.1991250665063 34.40535231516464, 134.1995692902775 34.40594298618444, 134.2000812327232 34.40649472335367, 134.2006559646325 34.40700221239649, 134.2012879517067 34.4074605650541, 134.2019711078314 34.40786536619449, 134.2026988536788 34.40821271636896, 134.203464180076 34.40849926940409, 134.2042597155303 34.40872226466565, 134.2050777972577 34.40887955368252, 134.2059105450319 34.40896962087227, 134.2067499371381 34.40899159816808, 134.2075878876999 34.40894527340441, 134.2084163246305 34.40883109237991, 134.2092272674542 34.40865015457704, 134.2100129042463 34.40840420257895, 134.2441157376788 34.3961036762793))",<zip object at 0x7f58e0401980>,2022-10-04 19:37:52
8,431016287,431015831,"POLYGON ((134.2874876341204 34.37959686324597, 134.2875527556243 34.37890277174244, 134.2875355060126 34.378206730382, 134.2874360535361 34.37751544284067, 134.2872553581535 34.37683556682722, 134.2869951622018 34.37617364995701, 134.2866579735353 34.37553606669331, 134.2862470412951 34.37492895696391, 134.2857663245483 34.37435816704359, 134.2852204540996 34.37382919327146, 134.2846146878468 34.37334712914429, 134.2839548601107 34.37291661629448, 134.2832473254303 34.37254179982348, 134.282498897363 34.37222628841968, 134.2817167828821 34.37197311964292, 134.2809085129996 34.3717847307093, 134.280081870284 34.37166293505533, 134.2792448139682 34.37160890490619, 134.2784054033661 34.37162316001501, 134.2775717203339 34.37170556267961, 134.276751791519 34.37185531908483, 134.2759535111423 34.37207098695642, 134.2751845650556 34.37235048945226, 134.2744523567995 34.37269113515753, 134.2737639363739 34.3730896439912, 134.2731259324033 34.37354217877489, 134.2725444883464 34.37404438216086, 134.2720252033654 34.37459141856465, 134.2715730784199 34.37517802069944, 134.2711924681075 34.37579854026553, 134.2708870387109 34.37644700230814, 134.2706597328595 34.37711716272154, 134.2705127411449 34.37780256834713, 134.2704474809662 34.37849661908813, 134.2704645828111 34.37919263144389, 134.2705638841073 34.37988390285297, 134.2707444307061 34.38056377622658, 134.2710044859878 34.38122570405084, 134.2713415475043 34.38186331144147, 134.2717523710007 34.38247045754352, 134.2722330015887 34.38304129468443, 134.2727788117749 34.38357032471044, 134.2733845459772 34.38405245196297, 134.2740443711065 34.38448303238373, 134.274751932724 34.38485791827455, 134.275500416237 34.38517349827931, 134.2762826125418 34.38542673220184, 134.2770909874816 34.38561518032257, 134.2779177544507 34.38573702693042, 134.2787549494413 34.38579109784208, 134.2795945078102 34.38577687173795, 134.2804283420226 34.38569448520561, 134.2812484196215 34.38554473144021, 134.282046840668 34.38532905261457, 134.2828159139048 34.38504952599181, 134.2835482309049 34.38470884391387, 134.2842367374891 34.38431028785961, 134.2848748017223 34.38385769682204, 134.2854562778296 34.38335543031074, 134.2859755654175 34.38280832633599, 134.2864276634258 34.38222165478136, 134.2868082182924 34.38160106661431, 134.2871135658652 34.38095253942593, 134.2873407666593 34.38028231982544, 134.2874876341204 34.37959686324597))",<zip object at 0x7f58d5605f40>,2022-10-04 19:59:50
9,356970000,431020008,"POLYGON ((135.0364609808447 34.59661813324808, 135.0360429992427 34.59672560360244, 135.0352565738468 34.59700120813456, 135.0347566133982 34.59720119815328, 135.0338829754127 34.5976041224302, 135.0330718524199 34.59808823986165, 135.0323859255874 34.59855011376494, 135.0321968675496 34.59865935702959, 135.0319889271419 34.59871186546378, 135.031210169252 34.59897999958403, 135.0304669396922 34.59930995576372, 135.029766394561 34.59969855685373, 135.0124406124596 34.6103615870716, 135.0044094466362 34.61495429586075, 135.0037399335602 34.6153787228668, 135.003123956668 34.61585535535097, 135.0025674474954 34.61637960394706, 135.0020757652917 34.6169464207981, 135.0016536454176 34.61755034813378, 135.0013051537331 34.61818557079388, 135.0010336474173 34.61884597219331, 135.0008417425987 34.6195251931916, 135.000731289107 34.62021669330051, 135.000703352594 34.62091381364289, 135.0007582041968 34.62160984105605, 135.0008953178463 34.62229807272463, 135.0011133752492 34.62297188072052, 135.0014102785006 34.62362477582867, 135.0017831702063 34.62425047004481, 135.0022284609265 34.62484293714255, 135.0027418636785 34.62539647072653, 135.003318435168 34.62590573921176, 135.0039526233553 34.62636583719849, 135.0046383208995 34.62677233274741, 135.0053689239656 34.62712131009777, 135.0061373958311 34.62740940741631, 135.006936334677 34.62763384921161, 135.0077580449098 34.62779247310041, 135.0085946113282 34.62788375066659, 135.0094379754146 34.62790680221068, 135.0102800130173 34.62786140524673, 135.0111126126714 34.62774799666369, 135.0119277538001 34.62756766852973, 135.0127175840419 34.62732215757971, 135.0134744949534 34.62701382848631, 135.0137603414553 34.62686698681113, 135.0139253276203 34.62679406330177, 135.0148352095139 34.62634254307436, 135.0151318527648 34.62624256770508, 135.0158764861056 34.62591813495963, 135.0165791714147 34.62553506663261, 135.0171113943747 34.62521294939467, 135.0276262887266 34.61999367535011, 135.0286280863338 34.61941230813423, 135.038705609512 34.61262859628229, 135.0536957524961 34.60404308158927, 135.0543647605805 34.6036181793163, 135.054980176868 34.60314110256341, 135.0555360750372 34.6026164458329, 135.0560271022703 34.60204926183889, 135.0564485308033 34.60144501281997, 135.0567963034401 34.60080951790694, 135.0570670725946 34.6001488970542, 135.0572582324842 34.59946951207563, 135.0573679441677 34.59877790535473, 135.0573951531864 34.59808073681982, 135.0573395996443 34.59738471979289, 135.0572018206293 34.59669655633036, 135.0569831449585 34.59602287267909, 135.0566856802992 34.59537015546966, 135.0563122927945 34.5947446892616, 135.0558665793914 34.59415249604139, 135.055352833141 34.59359927725578, 135.0547760018085 34.59309035893779, 135.0541416401921 34.59263064045282, 135.0534558566125 34.59222454735723, 135.0527252540886 34.59187598882209, 135.0519568667667 34.59158832003071, 135.051158092214 34.59136430991048, 135.0503366202291 34.59120611450829, 135.0495003588516 34.59111525626437, 135.0486573582825 34.5910926093832, 135.0478157334447 34.59113839144062, 135.0469835859276 34.59125216130761, 135.0461689260621 34.59143282340945, 135.0453795958754 34.59167863827928, 135.0446231936635 34.59198723930395, 135.043907000903 34.59235565550116, 135.0364609808447 34.59661813324808))",<zip object at 0x7f58c7260700>,2022-10-04 21:07:51
